[14:56:34] [INFO] received Windows console close event; shutting log-core down
[15:01:18] [INFO] received Windows console close event; shutting log-core down
[15:02:35] [INFO] received Windows console close event; shutting log-core down
[15:05:40] [INFO] received Windows console close event; shutting log-core down
[15:05:47] [INFO] received Windows console close event; shutting log-core down
[15:07:00] [INFO] received Windows console close event; shutting log-core down
[15:17:25] [INFO] received Windows console close event; shutting log-core down
[15:27:02] [INFO] received Windows console close event; shutting log-core down
[15:45:04] [INFO] received Windows console close event; shutting log-core down
[15:47:53] [INFO] received Windows console close event; shutting log-core down
[16:39:31] [INFO] received Windows console close event; shutting log-core down
[16:40:21] [INFO] received Windows console close event; shutting log-core down
[16:58:35] [INFO] received Windows console close event; shutting log-core down
[17:03:29] [INFO] received Windows console close event; shutting log-core down
[17:25:30] [INFO] received Windows console close event; shutting log-core down
[17:27:00] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:28:53] [INFO] received Windows console close event; shutting log-core down
[17:30:30] [INFO] received Windows console close event; shutting log-core down
[17:32:41] [INFO] received Windows console close event; shutting log-core down
[17:33:19] [INFO] received Windows console close event; shutting log-core down
[17:37:14] [INFO] received Windows console close event; shutting log-core down
[17:39:02] [INFO] received Windows console close event; shutting log-core down
[17:41:39] [INFO] received Windows console close event; shutting log-core down
[17:45:02] [INFO] received Windows console close event; shutting log-core down
[17:46:44] [INFO] received Windows console close event; shutting log-core down
[17:47:18] [INFO] received Windows console close event; shutting log-core down
[18:13:46] [INFO] received Windows console close event; shutting log-core down
[18:17:17] [INFO] received Windows console close event; shutting log-core down
[18:17:26] [INFO] received Windows console close event; shutting log-core down
[18:22:38] [INFO] received Windows console close event; shutting log-core down
[18:34:52] [INFO] received Windows console close event; shutting log-core down
[23:30:59] [INFO] received Windows console close event; shutting log-core down
[22:53:54] [INFO] received Windows console close event; shutting log-core down
